Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
login,300,820,65,4814,820.78,0.000%,3.10874,4.81,1.98,1585.4
refresh,300,749,6,7997,892.21,0.000%,3.10132,2.61,1.93,860.6
profile,300,695,4,4044,852.90,0.000%,3.09380,1.78,1.44,589.7
user_detail,300,658,5,4328,850.46,0.000%,3.08388,1.63,1.44,540.0
user_update,300,706,8,4692,906.72,0.000%,3.07132,2.55,3.96,849.1
all_users,300,682,6,5794,859.05,0.000%,3.02770,3.75,1.42,1267.8
get_admin_info,300,741,3,5036,917.17,0.000%,3.01990,1.03,1.42,349.0
get_developer_info,300,707,3,6090,919.52,0.000%,3.01671,1.09,1.43,369.0
user_statistics,300,680,5,4273,777.86,0.000%,3.00195,0.77,1.41,263.0
detection_segmentation,300,5096,1379,11069,1344.79,0.000%,2.89749,293.64,1.66,103776.6
detection_detail,300,547,8,4494,683.58,0.000%,2.97000,2.49,1.40,858.5
user_detections,300,656,11,5336,926.48,0.000%,2.96986,2.99,1.42,1031.7
all_detections,300,667,10,4364,830.59,0.000%,2.97039,2.99,1.42,1031.9
detection_statistics,300,692,8,5260,899.31,0.000%,2.97053,0.84,1.41,288.0
media_detail,300,732,8,6361,920.82,0.000%,2.97089,1.62,1.39,557.0
media_update,300,792,16,6082,960.11,0.000%,2.97077,2.59,2.38,892.3
user_medias,300,633,12,6140,764.11,0.000%,2.97141,1.86,1.39,640.0
all_medias,300,789,10,4919,917.69,0.000%,2.97197,1.86,1.40,640.0
media_statistics,300,727,9,5035,907.27,0.000%,2.97280,0.73,1.40,251.0
model_detail,300,724,6,4719,892.19,0.000%,2.97309,2.17,1.39,748.0
model_update,300,711,15,4727,845.17,0.000%,2.97309,3.15,2.38,1083.3
all_models,300,623,9,4822,790.77,0.000%,2.97410,9.64,1.40,3318.0
model_statistics,300,683,7,5041,847.84,0.000%,2.97457,0.67,1.40,231.0
operation_detail,300,749,5,5054,899.46,0.000%,2.97492,1.49,1.41,512.0
all_operations,300,656,9,4324,815.17,0.000%,2.97525,5.79,1.42,1993.5
logout,300,669,8,6949,883.06,0.000%,2.97598,2.63,1.85,905.3
总体,7800,869,3,11069,1227.87,0.000%,75.08158,353.73,41.30,4824.3
